title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
EPSRC Centre for Doctoral Training in Power Networks at The University of Manchester,EPSRC,EP/L016141/1,2014-04-01,2022-09-30,3948760,University of Manchester,Electrical and Electronic Engineering,M13 9PL,North West,Peter,,Crossley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016141%2F1
"EPSRC Centre for Doctoral Training in Polymers, Soft Matter and Colloids",EPSRC,EP/L016281/1,2014-04-01,2022-09-30,4066460,University of Sheffield,Chemistry,S10 2TN,Yorkshire and The Humber,Steven,,Armes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016281%2F1
EPSRC Centre for Doctoral Training in Theory and Simulation of Materials,EPSRC,EP/L015579/1,2014-04-01,2022-09-30,4356840,Imperial College London,Dept of Physics,SW7 2AZ,London,Arash,,Mostofi,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015579%2F1
EPSRC Centre for Doctoral Training in Complex Particulate Products and Processes,EPSRC,EP/L015285/1,2014-05-01,2022-10-31,3585910,University of Leeds,Chemical and Process Engineering,LS2 9JT,Yorkshire and The Humber,Kevin,John,Roberts,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015285%2F1
EPSRC Centre for Doctoral Training in Neurotechnology for Life and Health,EPSRC,EP/L016737/1,2014-04-01,2022-09-30,4164300,Imperial College London,Dept of Bioengineering,SW7 2AZ,London,Simon,Ross,Schultz,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016737%2F1
EPSRC Centre for Doctoral Training in Autonomous Intelligent Machines and Systems (AIMS),EPSRC,EP/L015897/1,2014-04-01,2022-09-30,4548910,University of Oxford,Engineering Science,OX1 2JD,South East,Stephen,,Roberts,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015897%2F1
EPSRC Centre for Doctoral Training in Nuclear Energy: Building UK Civil Nuclear Skills for Global Markets.,EPSRC,EP/L015900/1,2014-04-01,2022-09-30,4153660,Imperial College London,Materials,SW7 2AZ,London,William Edward (Bill),,Lee,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015900%2F1
EPSRC CENTRE FOR DOCTORAL TRAINING IN STATISTICS &amp; OPERATIONAL RESEARCH IN PARTNERSHIP WITH INDUSTRY (STOR-i),EPSRC,EP/L015692/1,2014-04-01,2022-09-30,3878130,Lancaster University,Mathematics and Statistics,LA1 4YW,North West,Jonathan,,Tawn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015692%2F1
EPSRC Centre for Doctoral Training in Statistical Applied Mathematics at Bath (SAMBa),EPSRC,EP/L015684/1,2014-05-01,2022-10-31,3774210,University of Bath,Mathematical Sciences,BA2 7AY,South West,Andreas,Eou,Kyprianou,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015684%2F1
EPSRC Centre for Doctoral Training in Water Informatics: Science and Engineering (WISE),EPSRC,EP/L016214/1,2014-04-01,2022-09-30,5292700,University of Exeter,Engineering Computer Science and Maths,EX4 4QX,South West,Dragan,,Savic,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016214%2F1
EPSRC Centre for Doctoral Training in Cloud Computing for Big Data,EPSRC,EP/L015358/1,2014-05-01,2022-10-31,3503440,Newcastle University,Computing Sciences,NE1 7RU,North East,Paul,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015358%2F1
EPSRC Centre for Doctoral Training in Future Communications 2: : Training Tomorrow's Internet Innovators,EPSRC,EP/L016656/1,2016-04-01,2022-09-30,3034320,University of Bristol,Electrical and Electronic Engineering,BS8 1TH,South West,David,,Bull,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016656%2F1
EPSRC Centre for Doctoral Training in Synthesis for Biology and Medicine,EPSRC,EP/L015838/1,2014-04-01,2022-09-30,4811030,University of Oxford,Oxford Chemistry,OX1 2JD,South East,Darren,James,Dixon,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015838%2F1
EPSRC Centre for Doctoral Training in the Advanced Characterisation of Materials,EPSRC,EP/L015277/1,2014-05-01,2022-10-31,4226130,Imperial College London,Materials,SW7 2AZ,London,Stephen,John,Skinner,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015277%2F1
EPSRC Centre for Doctoral Training in Computational Methods for Materials Science,EPSRC,EP/L015552/1,2014-04-01,2022-09-30,4521210,University of Cambridge,Physics,CB2 1EW,East of England,Michael,Christopher,Payne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015552%2F1
EPSRC Centre for Doctoral Training in Carbon Capture and Storage and Cleaner Fossil Energy,EPSRC,EP/L016362/1,2014-04-01,2022-09-30,3452110,University of Nottingham,Faculty of Engineering,NG7 2RD,East Midlands,Colin,Edward,Snape,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016362%2F1
EPSRC Centre for Doctoral Training in Analysis (Cambridge Centre for Analysis),EPSRC,EP/L016516/1,2014-05-01,2022-10-31,3239840,University of Cambridge,Pure Maths and Mathematical Statistics,CB2 1EW,East of England,James,,Norris,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016516%2F1
EPSRC Centre for Doctoral Training in Future Autonomous and Robotic Systems - FARSCOPE,EPSRC,EP/L015293/1,2014-04-01,2022-09-30,4930860,University of Bristol,Aerospace Engineering,BS8 1TH,South West,Arthur,,Richards,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015293%2F1
EPSRC Centre for Doctoral Training in Photonic Integration and Advanced Data Storage,EPSRC,EP/L015323/1,2014-04-01,2022-09-30,3000000,Queen's University of Belfast,Sch of Mathematics and Physics,BT7 1NN,Northern Ireland,Robert,,Bowman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015323%2F1
EPSRC Centre for Doctoral Training in Intelligent Games &amp; Game Intelligence (IGGI),EPSRC,EP/L015846/1,2014-04-01,2022-09-30,5589510,University of York,Computer Science,YO10 5DD,Yorkshire and The Humber,Peter,Ivan,Cowling,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015846%2F1
EPSRC Centre for Doctoral Training in the Science and Technology of Fusion Energy,EPSRC,EP/L01663X/1,2014-04-01,2022-09-30,3732000,University of York,Physics,YO10 5DD,Yorkshire and The Humber,Howard,,Wilson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01663X%2F1
Centre for Doctoral Training in Cyber Security at Royal Holloway: Renewal of the CS-CDT at RHUL,EPSRC,EP/P009301/1,2016-10-01,2023-03-31,3454900,"Royal Holloway, University of London",Information Security,TW20 0EX,South East,Carlos,,CID,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP009301%2F1
EPSRC and MRC Centre for Doctoral Training in Next Generation Statistical Science: The Oxford-Warwick Statistics Programme.,EPSRC,EP/L016710/1,2014-04-01,2022-09-30,4263190,University of Oxford,Statistics,OX1 2JD,South East,Christopher,,Holmes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016710%2F1
EPSRC CENTRE FOR DOCTORAL TRAINING IN THE MATHEMATICS OF PLANET EARTH AT IMPERIAL COLLEGE LONDON AND THE UNIVERSITY OF READING,EPSRC,EP/L016613/1,2014-04-01,2022-09-30,5463490,Imperial College London,Dept of Mathematics,SW7 2AZ,London,Dan,,Crisan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016613%2F1
EPSRC and ESRC Centre for Doctoral Training in Quantification and Management of Risk &amp; Uncertainty in Complex Systems &amp; Environments.,EPSRC,EP/L015927/1,2014-10-01,2023-03-31,4113080,University of Liverpool,School of Engineering,L69 3BX,North West,John,,Mottershead,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015927%2F1
EPSRC Centre for Doctoral Training in Tissue Engineering and Regenerative Medicine; Innovation in Medical and Biological Engineering,EPSRC,EP/L014823/1,2014-04-01,2022-09-30,3334100,University of Leeds,Mechanical Engineering,LS2 9JT,Yorkshire and The Humber,Joanne,Lisbeth,Tipper,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL014823%2F1
EPSRC Centre for Doctoral Training in Fuel Cells and their Fuels - Clean Power for the 21st Century,EPSRC,EP/L015749/1,2014-04-01,2022-09-30,4416320,University of Birmingham,Chemical Engineering,B15 2TT,West Midlands,Robert,,Steinberger-Wilckens,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015749%2F1
EPSRC Centre for Doctoral Training in Mathematical Analysis and its Applications:Maxwell Institute Graduate School in Analysis &amp; Applications - MIGSAA,EPSRC,EP/L016508/1,2014-05-01,2022-10-31,4543510,University of Edinburgh,Sch of Mathematics,EH8 9YL,Scotland,Anthony,,Carbery,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016508%2F1
The UK Doctoral Training Centre in Energy Demand Reduction and the Built Environment,EPSRC,EP/H009612/1,2009-10-01,2018-03-31,5814410,University College London,"Bartlett Sch of Env, Energy & Resources",WC1E 6BT,London,Robert,John,Lowe,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH009612%2F1
Advanced Composites Centre for Innovation &amp; Science (ACCIS) Doctoral Training Centre,EPSRC,EP/G036772/1,2009-10-01,2018-03-31,7133150,University of Bristol,Aerospace Engineering,BS8 1TH,South West,Michael,,Wisnom,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036772%2F1
Doctoral Training Centre in Advanced Metallic Systems - Challenges in Global Competitiveness,EPSRC,EP/G036950/1,2009-10-01,2018-03-31,6370660,University of Sheffield,Materials Science and Engineering,S10 2TN,Yorkshire and The Humber,Bradley,Peter,Wynne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036950%2F1
Cambridge NanoScience through Engineering to Application Doctoral Training Centre: Assembly of Functional NanoMaterials and NanoDevices,EPSRC,EP/G037221/1,2009-10-01,2018-03-31,6758720,University of Cambridge,Physics,CB2 1EW,East of England,Jeremy,John,Baumberg,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037221%2F1
Doctoral Training Centre in Digital Music and Media for the Creative Economy,EPSRC,EP/G03723X/1,2009-10-01,2018-03-31,5971210,"Queen Mary, University of London",Sch of Electronic Eng & Computer Science,E1 4NS,London,Mark,,Sandler,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG03723X%2F1
Doctoral Training Centre in Science and Application of Plastic Electronic Materials,EPSRC,EP/G037515/1,2009-10-01,2018-03-31,7293480,Imperial College London,Dept of Physics,SW7 2AZ,London,Jenny,,Nelson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037515%2F1
EPSRC Centre for Doctoral Training in Emergent Macromolecular Therapies (EMT): A National CDT linked to an EPSRC Centre for Innovative Manufacturing,EPSRC,EP/L015218/1,2015-10-01,2022-09-30,3709820,University College London,Biochemical Engineering,WC1E 6BT,London,Paul,Anthony,Dalby,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015218%2F1
EPSRC and MRC Centre for Doctoral Training in Optical Medical Imaging - Training the next generation of scientific entrepreneurs in healthcare tech.,EPSRC,EP/L016559/1,2014-05-01,2022-10-31,4536460,University of Edinburgh,Sch of Chemistry,EH8 9YL,Scotland,Mark,,Bradley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016559%2F1
EPSRC Centre for Doctoral Training in Catalysis,EPSRC,EP/L016443/1,2014-04-01,2022-09-30,4504580,Cardiff University,Chemistry,CF10 3TE,Wales,Graham,,Hutchings,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016443%2F1
LSI Doctoral Training Centres - Medical devices doctoral training centre,EPSRC,EP/F50036X/1,2008-10-01,2018-03-31,4612580,University of Strathclyde,Biomedical Engineering,G1 1XQ,Scotland,Patricia,,Connolly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF50036X%2F1
EPSRC Centre for Doctoral Training in Bioprocess Engineering Leadership,EPSRC,EP/L01520X/1,2014-10-01,2023-03-31,4424690,University College London,Biochemical Engineering,WC1E 6BT,London,Gary,,Lye,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01520X%2F1
EPSRC Centre for Doctoral Training in Composites Manufacture,EPSRC,EP/L015102/1,2014-04-01,2022-09-30,3731260,University of Bristol,Aerospace Engineering,BS8 1TH,South West,Ivana,Katherine,Partridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015102%2F1
EPSRC Centre for Doctoral Training in Medical Imaging,EPSRC,EP/L016478/1,2014-04-01,2022-09-30,5686850,University College London,Medical Physics and Biomedical Eng,WC1E 6BT,London,Sebastien,,Ourselin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016478%2F1
EPSRC and MRC Centre for Doctoral Training in Biomedical Imaging,EPSRC,EP/L016052/1,2014-05-01,2022-10-31,3864870,University of Oxford,Biomedical Imaging CDT,OX1 2JD,South East,Peter,,Jezzard,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016052%2F1
EPSRC Centre for Doctoral Training in Next Generation Computational Modelling,EPSRC,EP/L015382/1,2014-04-01,2022-09-30,3941020,University of Southampton,Faculty of Engineering & the Environment,SO17 1BJ,South East,Hans,,Fangohr,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015382%2F1
EPSRC Centre for Doctoral Training in Innovative Metal Processing IMPaCT,EPSRC,EP/L016206/1,2014-04-01,2022-09-30,3118340,University of Leicester,Engineering,LE1 7RH,East Midlands,Hongbiao,,Dong,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016206%2F1
EPSRC Centre for Doctoral Training in Delivering Quantum Technologies,EPSRC,EP/L015242/1,2014-04-01,2022-09-30,5004660,University College London,London Centre for Nanotechnology,WC1E 6BT,London,Daniel Edward,,Browne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015242%2F1
Oxford University Centre for Doctoral Training in Cyber Security,EPSRC,EP/K035606/1,2013-04-01,2019-12-31,3662580,University of Oxford,Computer Science,OX1 2JD,South East,Andrew,,Martin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK035606%2F1
EPSRC Centre for Doctoral Training in Data Science,EPSRC,EP/L016427/1,2014-04-01,2022-09-30,4726270,University of Edinburgh,Sch of Informatics,EH8 9YL,Scotland,Chris,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016427%2F1
EPSRC Centre for Doctoral Training in Formulation Engineering,EPSRC,EP/L015153/1,2014-10-01,2023-03-31,3609850,University of Birmingham,Chemical Engineering,B15 2TT,West Midlands,Peter,Jonathan,Fryer,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015153%2F1
EPSRC Centre for Doctoral Training in Quantitative NDE,EPSRC,EP/L015587/1,2015-04-01,2022-09-30,3033180,Imperial College London,Dept of Mechanical Engineering,SW7 2AZ,London,Peter,,Cawley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015587%2F1
EPSRC Centre for Doctoral Training in Functional Materials: The BCFN,EPSRC,EP/L016648/1,2014-04-01,2022-09-30,4555660,University of Bristol,Physics,BS8 1TH,South West,Terence,James,McMaster,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016648%2F1
EPSRC Centre for Doctoral Training in Digital Civics,EPSRC,EP/L016176/1,2014-04-01,2022-09-30,4707330,Newcastle University,Computing Sciences,NE1 7RU,North East,Patrick,,Olivier,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016176%2F1
Warwick Complexity Science Doctoral Training Centre 2,EPSRC,EP/I01358X/1,2011-10-01,2017-09-30,3442540,University of Warwick,Physics,CV4 7AL,West Midlands,Robin,Christopher,Ball,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI01358X%2F1
Wales ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500197/1,2011-10-01,2020-09-30,14239700,Cardiff University,Registry,CF10 3TE,Wales,Amanda,,Rouse,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500197%2F1
LSI Doctoral Training Centres - Doctoral Training Centre in Cell &amp; Proteomic Technologies,EPSRC,EP/F500424/1,2008-10-01,2018-03-31,4820420,University of Glasgow,School of Life Sciences,G12 8QQ,Scotland,Jonathan,,Cooper,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF500424%2F1
LSI Doctoral Training Centres - Molecular organisation and assembly in cells (MOAC) doctoral training centre,EPSRC,EP/F500378/1,2008-10-01,2018-03-31,5496420,University of Warwick,Chemistry,CV4 7AL,West Midlands,Alison,,Rodger,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF500378%2F1
Queen Mary and Goldsmiths ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500124/1,2011-10-01,2020-09-30,4595040,"Queen Mary, University of London",English,E1 4NS,London,Virginia,Grace,Davis,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500124%2F1
North West ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500094/1,2011-10-01,2020-09-30,24718100,University of Liverpool,Graduate School,L69 3BX,North West,Peter,William,Batey,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500094%2F1
Cambridge &amp; Cranfield Doctoral Training Centre in Ultra Precision,EPSRC,EP/K503241/1,2012-10-01,2019-03-31,2566790,University of Cambridge,Engineering,CB2 1EW,East of England,William,,O'Neill,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503241%2F1
London Business School ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500069/1,2011-10-01,2020-09-30,2946600,London Business School,Research and Faculty Office,NW1 4SA,London,Phanish,,Puranam,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500069%2F1
University of Southampton ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500161/1,2011-10-01,2020-09-30,7438930,University of Southampton,School of Social Sciences,SO17 1BJ,South East,Jane,Cecelia,Falkingham,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500161%2F1
University of Nottingham ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500100/1,2011-10-01,2020-09-30,7190820,University of Nottingham,Research and Graduate Services,NG7 2RD,East Midlands,Claire,,O'Malley,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500100%2F1
South West ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J50015X/1,2011-10-01,2020-09-30,15744100,University of Bristol,Research and Enterprise Development,BS8 1TH,South West,Judith,,Squires,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ50015X%2F1
"Doctoral Training Centre in Hydrogen, Fuel Cells and their Applications",EPSRC,EP/G037116/1,2009-10-01,2018-03-31,5542950,University of Birmingham,Chemical Engineering,B15 2TT,West Midlands,Kevin,,Kendall,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037116%2F1
A Holistic Doctoral Training Centre for Chemical Synthesis,EPSRC,EP/G036764/1,2009-10-01,2018-03-31,8086500,University of Bristol,Chemistry,BS8 1TH,South West,Kevin,Iain,Booker-Milburn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036764%2F1
South East ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500148/1,2011-10-01,2020-09-30,9519310,University of Surrey,Psychology,GU2 7XH,South East,Chris,,Fife-Schaw,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500148%2F1
University of Warwick ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500203/1,2011-10-03,2020-09-30,10904000,University of Warwick,Research Support Services,CV4 7AL,West Midlands,Michael,,Saward,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500203%2F1
University of Essex ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500045/1,2011-10-01,2020-09-30,6977360,University of Essex,Sociology,CO4 3SQ,East of England,Pamela,,Cox,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500045%2F1
University of Cambridge ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500033/1,2011-10-01,2020-09-30,9930060,University of Cambridge,Board of Graduate Studies,CB2 1EW,East of England,Loraine,Ruth,Gelsthorpe,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500033%2F1
University of Oxford ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500112/1,2011-10-01,2020-09-30,17188400,University of Oxford,Social Sciences Division,OX1 2JD,South East,Roger,J,Goodman,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500112%2F1
University College London ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500185/1,2011-10-01,2020-09-30,13213000,University College London,Economics,WC1E 6BT,London,Stephen,Malcolm,Hart,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500185%2F1
North East ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500082/1,2011-10-01,2020-09-30,10222400,Durham University,Archaeology,DH1 3HP,North East,Ian,,Greener,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500082%2F1
University of Birmingham ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J50001X/1,2011-10-01,2020-09-30,5503660,University of Birmingham,The Registrar,B15 2TT,West Midlands,Hilary,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ50001X%2F1
London School of Economics ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500070/1,2011-10-01,2020-09-30,15316400,London School of Economics & Pol Sci,Research & Project Development Division,WC2A 2AE,London,Janet,Margaret,Hartley,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500070%2F1
White Rose ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500215/1,2011-10-01,2020-09-30,18443900,University of Sheffield,Geography,S10 2TN,Yorkshire and The Humber,Martin John,,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500215%2F1
Kings College London ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500057/1,2011-10-01,2020-09-30,6344210,King's College London,SSPP School Office,SE1 3QD,London,Eva,,Broer,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500057%2F1
University of Sussex ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500173/1,2011-10-01,2020-09-30,4357090,University of Sussex,Research and Enterprise Services,BN1 9RH,South East,Alan,,Garnham,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500173%2F1
Bloomsbury Colleges ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500021/1,2011-10-01,2020-09-30,11269900,University College London,Doctoral School,WC1E 6BT,London,Andrew,,Tolmie,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500021%2F1
Centre for Doctoral Training in Basic Technologies for Molecular-Scale Engineering,EPSRC,EP/J500124/1,2011-10-01,2018-09-30,1999640,University of Leeds,Electronic and Electrical Engineering,LS2 9JT,Yorkshire and The Humber,Jamie,,Hobbs,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ500124%2F1
EPSRC Centre for Doctoral Training in Sustainable Materials and Manufacturing (EngD),EPSRC,EP/L016389/1,2014-05-01,2022-10-31,3358440,University of Warwick,WMG,CV4 7AL,West Midlands,Kerry,Emmett Arthur,Kirwan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016389%2F1
EPSRC Centre for Doctoral Training in Energy Storage and its Applications,EPSRC,EP/L016818/1,2014-04-01,2022-09-30,4078780,University of Sheffield,Chemical & Biological Engineering,S10 2TN,Yorkshire and The Humber,Peter,Joseph,Hall,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016818%2F1
EPSRC Centre for Doctoral Training in Geometry and Number Theory at the Interface,EPSRC,EP/L015234/1,2014-04-01,2022-09-30,4696650,University College London,Mathematics,WC1E 6BT,London,Michael,,Singer,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015234%2F1
EPSRC Centre for Doctoral Training in Cross-Disciplinary Approaches to Non-Equilibrium Systems,EPSRC,EP/L015854/1,2014-05-01,2022-10-31,3868980,King's College London,Mathematics,SE1 3QD,London,Peter,,Sollich,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015854%2F1
EPSRC Centre for Doctoral Training in Engineering for the Water Sector (STREAM IDC),EPSRC,EP/L015412/1,2014-04-01,2022-09-30,3678060,Cranfield University,"School of Water, Energy and Environment",MK43 0AL,East of England,Paul,,Jeffrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015412%2F1
EPSRC Centre for Doctoral Training in Future Power Networks and Smart Grids,EPSRC,EP/L015471/1,2014-04-01,2022-09-30,4404160,University of Strathclyde,Electronic and Electrical Engineering,G1 1XQ,Scotland,Stephen,,McArthur,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015471%2F1
EPSRC Centre for Doctoral Training in Advanced Metallic Systems - Challenges in Future Metals Manufacturing,EPSRC,EP/L016273/1,2014-04-01,2022-09-30,3485040,University of Sheffield,Materials Science and Engineering,S10 2TN,Yorkshire and The Humber,Bradley,Peter,Wynne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016273%2F1
EPSRC Centre for Doctoral Training in Micro- and NanoMaterials and Technologies,EPSRC,EP/L016788/1,2014-04-01,2022-09-30,3193850,University of Surrey,Mechanical Engineering Sciences,GU2 7XH,South East,Robert,Andrew,Dorey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016788%2F1
EPSRC and MRC Centre for Doctoral Training in Systems Approaches to Biomedical Science,EPSRC,EP/L016044/1,2014-10-06,2023-04-05,3552380,University of Oxford,"Mathematical, Physical&Life Sciences Div",OX1 2JD,South East,Charlotte,,Deane,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016044%2F1
From Targeted Therapeutics to Next-Generation Medicines,EPSRC,EP/I01375X/1,2011-10-01,2017-09-30,1330810,University of Nottingham,Sch of Pharmacy,NG7 2RD,East Midlands,Cameron,,Alexander,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI01375X%2F1
