title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
STFC Imperial Physics 2015 DTP,STFC,ST/N504336/1,2015-10-01,2020-09-30,2276520,Imperial College London,Dept of Physics,SW7 2AZ,London,Jordan,,Nash,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504336%2F1
STFC Imperial Earth 2015 DTP,STFC,ST/N504312/1,2015-10-01,2020-09-30,317020,Imperial College London,Earth Science and Engineering,SW7 2AZ,London,Jan,,Cilliers,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504312%2F1
STFC Durham Physics 2015 DTP,STFC,ST/N50404X/1,2015-10-01,2020-09-30,1791410,Durham University,Physics,DH1 3HP,North East,Simon,Leo,Morris,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50404X%2F1
STFC Sheffield Maths 2015 DTP,STFC,ST/N504270/1,2015-10-01,2020-09-30,144510,University of Sheffield,Mathematics and Statistics,S10 2TN,Yorkshire and The Humber,J,D,Biggins,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504270%2F1
STFC Oxford Physics 2015 DTP,STFC,ST/N504233/1,2015-10-01,2020-09-30,2580730,University of Oxford,Oxford Physics,OX1 2JD,South East,John,,Wheater,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504233%2F1
STFC UCL Physics 2015 DTP,STFC,ST/N50449X/1,2015-10-01,2020-09-30,1172190,University College London,Physics and Astronomy,WC1E 6BT,London,Jonathan,Mark,Butterworth,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN50449X%2F1
DTP - University of East Anglia,EPSRC,EP/M508020/1,2015-10-01,2019-09-30,466643,University of East Anglia,Graduate Office,NR4 7TJ,East of England,Melanie,Sarah,Steele,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508020%2F1
STFC Imperial Eng 2015 DTP,STFC,ST/N504324/1,2016-10-01,2021-09-30,79255,Imperial College London,Electrical and Electronic Engineering,SW7 2AZ,London,Peter Y K,,Cheung,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504324%2F1
STFC Liverpool Cockcroft 2015 DTP,STFC,ST/N504129/1,2015-10-01,2020-09-30,654564,University of Liverpool,Physics,L69 3BX,North West,Peter,,Ratoff,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504129%2F1
STFC Kings Physics 2015 DTP,STFC,ST/N504373/1,2015-10-01,2020-09-30,232776,King's College London,Physics,SE1 3QD,London,David,,Richards,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504373%2F1
DTP - The University of Manchester,EPSRC,EP/M507969/1,2015-10-01,2019-09-30,3268210,University of Manchester,Engineering and Physical Sciences,M13 9PL,North West,Lee,James,Wilkinson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507969%2F1
DTP 2016-2017 Cranfield University,EPSRC,EP/N509450/1,2016-10-01,2021-09-30,1256420,Cranfield University,Administration,MK43 0AL,East of England,Christine,,Thompson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509450%2F1
STFC Durham Maths 2015 DTP,STFC,ST/N504038/1,2015-10-01,2020-09-30,348802,Durham University,Mathematical Sciences,DH1 3HP,North East,Anne,,Taormina,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504038%2F1
STFC UCL Earth 2015 DTP,STFC,ST/N504476/1,2015-10-01,2020-09-30,158510,University College London,Earth Sciences,WC1E 6BT,London,Lars,,Stixrude,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504476%2F1
STFC Liverpool Maths 2015 DTP,STFC,ST/N504130/1,2015-10-01,2020-09-30,279042,University of Liverpool,Mathematical Sciences,L69 3BX,North West,David,Ian,Jack,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504130%2F1
DTP 2016-2017 Aston University,EPSRC,EP/N509425/1,2016-10-01,2021-09-30,778552,Aston University,Unlisted,B4 7ET,West Midlands,Sally,,Puzey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509425%2F1
STFC Leeds Maths 2015 DTP,STFC,ST/N504397/1,2015-10-01,2020-09-30,216765,University of Leeds,Applied Mathematics,LS2 9JT,Yorkshire and The Humber,Steve,,Tobias,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504397%2F1
DTP 2016-2017 Brunel University,EPSRC,EP/N509437/1,2016-10-01,2021-09-30,1404660,Brunel University,Research Support and Development Office,UB8 3PH,London,Adam,,Bell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509437%2F1
DTP 2016-2017 Swansea University,EPSRC,EP/N509553/1,2016-10-01,2021-09-30,1300220,Swansea University,Research and Innovation,SA2 8PP,Wales,Julie,Elizabeth,Pugsley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509553%2F1
DTP 2016-2017 Newcastle University,EPSRC,EP/N509528/1,2016-10-01,2021-09-30,3373730,Newcastle University,Research and Enterprise Services,NE1 7RU,North East,Nicky,M,Houghton,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509528%2F1
STFC UCL MSSL 2015 DTP,STFC,ST/N504488/1,2015-10-01,2020-09-30,792550,University College London,Mullard Space Science Laboratory,WC1E 6BT,London,A,,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504488%2F1
STFC Manchester Earth 2015 DTP,STFC,ST/N504166/1,2015-10-01,2020-09-30,289020,University of Manchester,Earth Atmospheric and Env Sciences,M13 9PL,North West,Hugh,,Coe,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504166%2F1
DTP 2016-2017 Cardiff University,EPSRC,EP/N509449/1,2016-10-01,2021-09-30,1473820,Cardiff University,Registry,CF10 3TE,Wales,Rhian,Wyn,Phillips,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509449%2F1
Cyber Security CDT Phase Two (University of Oxford),EPSRC,EP/P00881X/1,2016-10-01,2023-03-31,3489110,University of Oxford,Computer Science,OX1 2JD,South East,Andrew,,Martin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP00881X%2F1
The Digital Creativity Hub,EPSRC,EP/M023265/1,2015-10-01,2020-09-30,4039830,University of York,Computer Science,YO10 5DD,Yorkshire and The Humber,Peter,Ivan,Cowling,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM023265%2F1
STFC St Andrews Physics 2015 DTP,STFC,ST/N504427/1,2015-10-01,2020-09-30,216765,University of St Andrews,Physics and Astronomy,KY16 9AJ,Scotland,Andrew Collier,,Cameron,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504427%2F1
STFC West of Scot 2015 DTP,STFC,ST/N504518/1,2016-02-01,2021-01-31,149498,University of the West of Scotland,School of Science,PA1 2BE,Scotland,John,Francis,Smith,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504518%2F1
DTP 2016-2017 The University of Manchester,EPSRC,EP/N509565/1,2016-10-01,2021-09-30,6595230,University of Manchester,Research Support Services,M13 9PL,North West,Lee,James,Wilkinson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509565%2F1
DTP 2016-2017 University of Huddersfield,EPSRC,EP/N50967X/1,2016-09-19,2021-09-18,553518,University of Huddersfield,Research and Enterprise,HD1 3DH,Yorkshire and The Humber,Elizabeth,,Towns-Andrews,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50967X%2F1
The Oxford DTP in Environmental Research,NERC,NE/L002612/1,2014-09-01,2020-10-31,6551260,University of Oxford,"Mathematical, Physical&Life Sciences Div",OX1 2JD,South East,David,,Pyle,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002612%2F1
DTP 2016-2017 University of Aberdeen,EPSRC,EP/N509814/1,2016-10-01,2021-09-30,488820,University of Aberdeen,Research Finance Manager,AB24 3FX,Scotland,Kerry,,Duffus,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509814%2F1
DTP 2016-2017 University of Leeds,EPSRC,EP/N509681/1,2016-10-01,2021-09-30,4163130,University of Leeds,Research Student Administration,LS2 9JT,Yorkshire and The Humber,Caroline,Fiona,Neave,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509681%2F1
DTP 2016-2017 University of Liverpool,EPSRC,EP/N509693/1,2016-10-01,2021-09-30,2101400,University of Liverpool,Graduate School,L69 3BX,North West,Debbie,,Henderson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509693%2F1
DTP 2016-2017 University of Southampton,EPSRC,EP/N509747/1,2016-10-01,2021-09-30,8694380,University of Southampton,Research and Innovation Services,SO17 1BJ,South East,Philip,,Jewell,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509747%2F1
DTP 2016-2017 University of Birmingham,EPSRC,EP/N509590/1,2016-10-01,2021-09-30,5755880,University of Birmingham,Personnel Services,B15 2TT,West Midlands,Hilary,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509590%2F1
STFC Southampton Physics &amp; Astronomy 2015 DTP,STFC,ST/N504300/1,2015-10-01,2020-09-30,423552,University of Southampton,School of Physics and Astronomy,SO17 1BJ,South East,Philip,Allan,Charles,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504300%2F1
DTP 2016-2017 University of St Andrews,EPSRC,EP/N509759/1,2016-10-01,2021-09-30,1747260,University of St Andrews,Office of the Principal,KY16 9AJ,Scotland,John,Derek,Woollins,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509759%2F1
DTP 2016-2017 University of Sussex,EPSRC,EP/N509784/1,2016-10-01,2021-09-30,547346,University of Sussex,Research Finance,BN1 9RH,South East,Linda,,Allfrey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509784%2F1
DTP 2016-2017 University of Cambridge,EPSRC,EP/N509620/1,2016-10-01,2021-09-30,12786000,University of Cambridge,Board of Graduate Studies,CB2 1EW,East of England,Noel Antony,,Rutter,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509620%2F1
DTP 2016-2017 University of Bath,EPSRC,EP/N509589/1,2016-10-01,2021-09-30,4208200,University of Bath,Research Support,BA2 7AY,South West,Karen,,Toogood,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509589%2F1
"DTP - Queen Mary, University of London",EPSRC,EP/M507921/1,2015-10-01,2019-09-30,992115,"Queen Mary, University of London",Research Support Services,E1 4NS,London,Jan,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507921%2F1
STFC Heriot Watt Eng 2015 DTP,STFC,ST/N504087/1,2015-10-01,2020-09-30,72255,Heriot-Watt University,Sch of Engineering and Physical Science,EH14 4AS,Scotland,Robert,Roderick,Thomson,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504087%2F1
STFC St Andrews Maths 2015 DTP,STFC,ST/N504415/1,2015-10-01,2020-09-30,216765,University of St Andrews,Mathematics and Statistics,KY16 9AJ,Scotland,Nik,,Ruskuc,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504415%2F1
STFC Manchester Physics &amp; Astronomy 2015 DTP,STFC,ST/N504178/1,2015-10-01,2020-09-30,1947730,University of Manchester,Physics and Astronomy,M13 9PL,North West,Stephen,,Watts,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504178%2F1
DTP 2016-2017 University of Warwick,EPSRC,EP/N509796/1,2016-10-01,2021-09-30,4824770,University of Warwick,Research Support Services,CV4 7AL,West Midlands,Dan,,Pearson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509796%2F1
DTP 2016-2017 Queen's University of Belfast,EPSRC,EP/N509541/1,2016-10-01,2021-09-30,2471760,Queen's University of Belfast,Research and Regional Services,BT7 1NN,Northern Ireland,Mark,,Kelly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509541%2F1
DTP 2016-2017 University of Exeter,EPSRC,EP/N509656/1,2016-10-01,2021-09-30,1506510,University of Exeter,Research Grant Administration,EX4 4QX,South West,Paula,Tracey,Frost,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509656%2F1
DTP 2016-2017 University of Dundee,EPSRC,EP/N509632/1,2016-10-01,2021-09-30,887440,University of Dundee,Executive,DD1 4HN,Scotland,Timothy,J,Newman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509632%2F1
DTP 2016-2017 University of Reading,EPSRC,EP/N509723/1,2016-10-01,2021-09-30,549086,University of Reading,Finance Office,RG6 6AH,South East,Jonathan,David,Lloyd,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509723%2F1
"DTP - Royal Holloway, Univ of London",EPSRC,EP/M507945/1,2015-10-01,2019-09-30,399767,"Royal Holloway, University of London",The Academic Registrar,TW20 0EX,South East,Barbara,,Davis,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507945%2F1
DTP 2016-2017 University of Sheffield,EPSRC,EP/N509735/1,2016-10-01,2021-09-30,5533980,University of Sheffield,Research Finance,S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509735%2F1
DTP 2016-2017 University of Nottingham,EPSRC,EP/N50970X/1,2016-10-01,2021-09-30,5531910,University of Nottingham,Research and Graduate Services,NG7 2RD,East Midlands,Richard,,Masterman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50970X%2F1
STFC Sheffield Physics &amp; Astronomy 2015 DTP,STFC,ST/N504282/1,2015-10-01,2020-09-30,555100,University of Sheffield,Physics and Astronomy,S10 2TN,Yorkshire and The Humber,Nigel,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504282%2F1
DTP 2016-2017 University of Glasgow,EPSRC,EP/N509668/1,2016-10-01,2021-09-30,6095720,University of Glasgow,Research and Enterprise,G12 8QQ,Scotland,Mary Beth,,Kneafsey,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509668%2F1
DTP 2016-2017 University of Surrey,EPSRC,EP/N509772/1,2016-10-01,2021-09-30,2344060,University of Surrey,Finance and Financial Management,GU2 7XH,South East,Yvonne,,Dunstone,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509772%2F1
DTP 2016-2017 Heriot-Watt University,EPSRC,EP/N509474/1,2016-10-01,2021-09-30,1967700,Heriot-Watt University,Sch of Engineering and Physical Science,EH14 4AS,Scotland,Duncan,,Hand,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509474%2F1
STFC Heriot Watt Maths 2015 DTP,STFC,ST/N504099/1,2015-10-01,2020-09-30,139521,Heriot-Watt University,S of Mathematical and Computer Sciences,EH14 4AS,Scotland,Richard Joseph,,Szabo,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504099%2F1
DTP 2016-2017 University of Strathclyde,EPSRC,EP/N509760/1,2016-10-01,2021-09-30,3211780,University of Strathclyde,Research and Knowledge Exchange Services,G1 1XQ,Scotland,Alison,,McFarlane,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509760%2F1
EPSRC UK-RAS Network (The EPSRC UK Network for Robotics and Autonomous Systems),EPSRC,EP/M012522/1,2015-03-02,2019-03-01,507337,Imperial College London,Dept of Computing,SW7 2AZ,London,Guang-Zhong,,Yang,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM012522%2F1
A Focused Ion Beam Microscopy Facility for Advanced Materials Analysis,EPSRC,EP/P001483/1,2016-07-01,2017-09-30,1081830,University of Glasgow,School of Physics and Astronomy,G12 8QQ,Scotland,Ian,,MacLaren,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP001483%2F1
Medical image computing for next-generation healthcare technology,EPSRC,EP/M020533/1,2015-05-14,2020-05-13,1472260,University College London,Computer Science,WC1E 6BT,London,Daniel,,Alexander,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM020533%2F1
Next Generation Multi-Dimensional X-Ray Imaging,EPSRC,EP/M010619/1,2015-02-02,2020-02-01,1219150,University of Manchester,Materials,M13 9PL,North West,Philip,,Withers,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM010619%2F1
"Training &amp; Skills Hub in Quantum Systems Engineering: innovation in Quantum Business - Applications, Technology and Engineering (InQuBATE)",EPSRC,EP/P510270/1,2016-04-01,2021-03-31,3597370,University College London,London Centre for Nanotechnology,WC1E 6BT,London,Andrew,,Fisher,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510270%2F1
Augmenting Oxford's Centre for Advanced Electron Spin Resonance with a Bruker Elexsys E580 X/Q-band pulsed ESR spectrometer,EPSRC,EP/L011972/1,2013-10-01,2018-09-30,90300,University of Oxford,Oxford Physics,OX1 2JD,South East,Arzhang,,Ardavan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL011972%2F1
Authority Research Network: creative/performative approaches to democracy and authority research,AHRC,AH/K006045/1,2014-06-01,2016-09-30,32939,University of Brighton,Sch of Environment and Technology,BN2 2GJ,South East,Leila,,Dawney,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FK006045%2F1
"DTP 2016-2017 Queen Mary, University of London",EPSRC,EP/N50953X/1,2016-10-01,2021-09-30,1315900,"Queen Mary, University of London",Research Support Services,E1 4NS,London,Jan,,Clarke,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN50953X%2F1
Whole Systems Energy Modelling Consortium (WholeSEM),EPSRC,EP/K039326/1,2013-07-08,2018-01-07,4607760,University College London,"Bartlett Sch of Env, Energy & Resources",WC1E 6BT,London,Neil,,Strachan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK039326%2F1
RCUK CENTRE for ENERGY EPIDEMIOLOGY (CEE): the study of energy demand in a population.,EPSRC,EP/K011839/1,2013-05-01,2018-04-30,5745860,University College London,"Bartlett Sch of Env, Energy & Resources",WC1E 6BT,London,Tadj,,Oreszczyn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK011839%2F1
Centre for Advanced Materials for Renewable Energy Generation,EPSRC,EP/P007805/1,2016-10-01,2020-09-30,2037440,University of Edinburgh,Sch of Engineering,EH8 9YL,Scotland,Robin,,Wallace,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP007805%2F1
"Advanced Materials Characterisation Suite in the Maxwell Centre, University of Cambridge",EPSRC,EP/M000524/1,2015-05-01,2019-04-30,63651,University of Cambridge,Physics,CB2 1EW,East of England,Michael Andrew,,Parker,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM000524%2F1
Future Liquid Metal Engineering Hub,EPSRC,EP/N007638/1,2015-11-01,2022-10-31,10138700,Brunel University,Inst of Materials & Manufacturing: BCAST,UB8 3PH,London,Z,,Fan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN007638%2F1
Improving Interpretation Outcomes: quantifying biases and designing workflows for better seismic interpretation,NERC,NE/M007251/1,2015-03-01,2016-05-20,93214,University of Aberdeen,Geology and Petroleum Geology,AB24 3FX,Scotland,Clare,Elizabeth,Bond,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FM007251%2F1
Living with Digital Ubiquity,EPSRC,EP/M000877/1,2014-11-01,2019-10-31,1225670,University of Nottingham,School of Computer Science,NG7 2RD,East Midlands,Steve,,Benford,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM000877%2F1
Grand Challenge Network+ in Proton Therapy,EPSRC,EP/N027167/1,2016-05-01,2020-04-30,677045,University of Manchester,School of Medical Sciences,M13 9PL,North West,Karen,Joy,Kirkby,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN027167%2F1
Training &amp; Skills Hub in Quantum Systems Engineering: Imperial Centre for Quantum Engineering &amp; Science,EPSRC,EP/P510257/1,2016-04-01,2021-03-31,3044610,Imperial College London,Dept of Physics,SW7 2AZ,London,Myungshik,,Kim,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510257%2F1
Tier 2 Hub in Materials and Molecular Modelling,EPSRC,EP/P020194/1,2016-10-01,2021-09-30,4000000,University College London,Physics and Astronomy,WC1E 6BT,London,Angelos,,Michaelides,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP020194%2F1
"Centre for the Analysis of Motion, Entertainment Research and Applications (CAMERA)",EPSRC,EP/M023281/1,2015-09-01,2020-08-31,3994060,University of Bath,Computer Science,BA2 7AY,South West,Darren,Peter,Cosker,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM023281%2F1
ESRC AMR Research Champion,ESRC,ES/N015169/1,2015-10-01,2017-03-31,119900,University of Bristol,Social Medicine,BS8 1TH,South West,Helen,,Lambert,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN015169%2F1
Transforming Industrial Crystallization by Sono-mechanical Manipulation of Crystal Surfaces,EPSRC,EP/L014971/1,2014-04-28,2019-04-27,1071470,University of Strathclyde,Chemical and Process Engineering,G1 1XQ,Scotland,Christopher,John,Price,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL014971%2F1
South African PhD Partnering Network for Inclusive Growth through Social Innovation and Entrepreneurship - The SASIE Programme and Network,ESRC,ES/N013840/1,2015-11-02,2018-11-01,152256,University of Essex,Essex Business School,CO4 3SQ,East of England,Diane,,Holt,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN013840%2F1
EPSRC Fellowships in Manufacturing - Regenerative Medicine Manufacture: A Systems Based Research Platform,EPSRC,EP/K037099/1,2013-08-05,2018-11-04,887758,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng",LE11 3TU,East Midlands,Nicholas,,Medcalf,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK037099%2F1
Academic Centre of Excellence in Cyber Security Research - University of Southampton,EPSRC,EP/K003968/1,2012-07-11,2017-07-10,50906,University of Southampton,Electronics and Computer Science,SO17 1BJ,South East,Vladimiro,,Sassone,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK003968%2F1
Expressive Finite Element Modelling for HPC: enabling advanced techniques for scientists,EPSRC,EP/N018877/1,2016-05-16,2021-05-15,477780,University of Cambridge,BP Institute,CB2 1EW,East of England,Christopher,Neil,Richardson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN018877%2F1
"The Cambridge Earth System Science DTP: Multi-disciplinary studies of the solid Earth, its atmosphere, oceans, cryosphere and biosphere.",NERC,NE/L002507/1,2014-09-01,2020-10-31,4075580,University of Cambridge,Earth Sciences,CB2 1EW,East of England,Michael,James,Bickle,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002507%2F1
"Doctoral Training Partnership(DTP) in Structural Metallic Systems for Gas Turbine Applications-universities of Cambridge,Swansea and Birmingham.",EPSRC,EP/H022309/1,2009-10-01,2020-03-31,9469810,University of Birmingham,Metallurgy and Materials,B15 2TT,West Midlands,Paul,,Bowen,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH022309%2F1
Nuclear Futures - a seminar series to re-make sociotechnical research agendas,ESRC,ES/N009444/1,2015-11-01,2018-02-28,28889,University of Sheffield,Sociological Studies,S10 2TN,Yorkshire and The Humber,Susan,,Molyneux-Hodgson,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FN009444%2F1
Frequency-comb enabled metrology for manufacturing,EPSRC,EP/N002547/1,2016-03-08,2019-09-07,539278,Heriot-Watt University,Sch of Engineering and Physical Science,EH14 4AS,Scotland,Derryck,,Reid,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN002547%2F1
"Enhanced Fluorescent OLEDs, through Triplet Fusion",EPSRC,EP/J015482/1,2013-01-31,2016-07-30,362590,Durham University,Physics,DH1 3HP,North East,Andy,,Monkman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ015482%2F1
Hydrology-phosphorus interactions under changing climate and land-use: overcoming uncertainties and challenges for prediction to 2050 (Nutcat 2050),NERC,NE/K002406/1,2013-08-12,2016-08-11,94160,University of Liverpool,Centre for Engineering Sustainability,L69 3BX,North West,Jian,Guo,Zhou,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK002406%2F1
Hydrology-phosphorus interactions under changing climate and land-use: overcoming uncertainties and challenges for prediction to 2050 (Nutcat 2050),NERC,NE/K002430/1,2013-08-14,2016-08-13,68521,Bangor University,Sch of Environment and Natural Resources,LL57 2DG,Wales,Paul,,Withers,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK002430%2F1
The Digital Economy Innovation Centre,EPSRC,EP/G037582/1,2009-10-01,2018-03-31,5969320,Lancaster University,Computing & Communications,LA1 4YW,North West,Gordon,,Blair,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037582%2F1
Hydrology-phosphorus interactions under changing climate and land-use: overcoming uncertainties and challenges for prediction to 2050 (Nutcat 2050),NERC,NE/K002392/1,2013-08-12,2017-02-11,805235,Lancaster University,Lancaster Environment Centre,LA1 4YW,North West,Philip Matthew,,Haygarth,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK002392%2F1
Industrial Doctorate Centre in Composites Manufacture,EPSRC,EP/K50323X/1,2012-10-01,2019-03-31,3926970,University of Bristol,Aerospace Engineering,BS8 1TH,South West,Ivana,Katherine,Partridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK50323X%2F1
Impacts of different vegetation in riparian buffer strips on hydrology and water quality,BBSRC,BB/N004248/1,2016-01-01,2020-12-31,559862,Rothamsted Research,Sustainable Soils and Grassland Systems,AL5 2JQ,East of England,Adrian,Loric,Collins,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN004248%2F1
UK Regions Digital Research Facility (UK RDRF),EPSRC,EP/M023583/1,2015-10-01,2020-09-30,4000600,University College London,Bartlett Sch of Architecture,WC1E 6BT,London,Alan,,Penn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM023583%2F1
UNDERSTANDING LAVA LAKES USING A NOVEL RADAR ALTIMETER,NERC,NE/N009312/1,2016-04-01,2019-03-31,411140,University of Cambridge,Geography,CB2 1EW,East of England,Clive,,Oppenheimer,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FN009312%2F1
Single-molecule studies of light-emitting polymers: observing and manipulating polymer conformation in solution,EPSRC,EP/N009886/1,2016-02-01,2019-04-30,397795,University of St Andrews,Physics and Astronomy,KY16 9AJ,Scotland,Carlos,,Penedo,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN009886%2F1
Single-molecule studies of light-emitting polymers: observing and manipulating polymer conformation in solution,EPSRC,EP/N009908/1,2016-02-01,2019-01-31,185421,University of Strathclyde,Pure and Applied Chemistry,G1 1XQ,Scotland,Peter,John,Skabara,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN009908%2F1
